EIS.Number,Original_File_Name,File_Name
20090217,05-030-AFS FEIS Logjam Timber Sale.doc,20090217_05-030-AFS FEIS Logjam Timber Sale.doc
20090217,AFS FEIS Logjam Timber Sale GPRA 309 Form.doc,20090217_AFS FEIS Logjam Timber Sale GPRA 309 Form.doc
20090217,20090217GPRA.doc,20090217_20090217GPRA.doc
20090118,20090118GPRA.doc,20090118_20090118GPRA.doc
20090118,20090118.pdf,20090118_20090118.pdf
20090068,20090068.pdf,20090068_20090068.pdf
20090068,20090068GPRA.doc,20090068_20090068GPRA.doc
20080513,20080513.doc,20080513_20080513.doc
20080513,20080513.pdf,20080513_20080513.pdf
20080513,20080513 GPRA form DEIS issue 1.rtf,20080513_20080513 GPRA form DEIS issue 1.rtf
20080513,20080513 GPRA form DEIS issue 2.rtf,20080513_20080513 GPRA form DEIS issue 2.rtf
20080486,20080486.doc,20080486_20080486.doc
20080486,20080486.pdf,20080486_20080486.pdf
20080486,AFS DEIS Logjam Timber Sale GPRA 309 Form.doc,20080486_AFS DEIS Logjam Timber Sale GPRA 309 Form.doc
20080193,20080193.pdf,20080193_20080193.pdf
20080193,20080193 GPRA Form.doc,20080193_20080193 GPRA Form.doc
20080193,20080193.doc,20080193_20080193.doc
20080168,20080168.doc,20080168_20080168.doc
20080168,20080168 GPRA Form.doc,20080168_20080168 GPRA Form.doc
20080168,20080168.pdf,20080168_20080168.pdf
20080056,20080056.pdf,20080056_20080056.pdf
20080056,20080056.doc,20080056_20080056.doc
20080056,20080056 GPRA Form.doc,20080056_20080056 GPRA Form.doc
20070503,20070503 GPRA Form.doc,20070503_20070503 GPRA Form.doc
20070503,20070503.doc,20070503_20070503.doc
20070503,20070503.pdf,20070503_20070503.pdf
20070478,20070478 GPRA Form.doc,20070478_20070478 GPRA Form.doc
20070478,20070478.doc,20070478_20070478.doc
20070478,20070478.pdf,20070478_20070478.pdf
20070406,20070406 GPRA Form.doc,20070406_20070406 GPRA Form.doc
20070406,20070406.pdf,20070406_20070406.pdf
20070379,20070379.pdf,20070379_20070379.pdf
20070379,20070379 GPRA Form.doc,20070379_20070379 GPRA Form.doc
20070379,20070379.doc,20070379_20070379.doc
20070381,20070381.pdf,20070381_20070381.pdf
20070381,20070381 GPRA Form.doc,20070381_20070381 GPRA Form.doc
20070381,20070381.doc,20070381_20070381.doc
20070375,20070375.pdf,20070375_20070375.pdf
20070375,20070375 GPRA Form.doc,20070375_20070375 GPRA Form.doc
20070375,20070375.doc,20070375_20070375.doc
20070195,20070195.pdf,20070195_20070195.pdf
20070195,20070195 GPRA Form.doc,20070195_20070195 GPRA Form.doc
20070195,20070195.doc,20070195_20070195.doc
20070196,20070196.pdf,20070196_20070196.pdf
20070196,20070196 GPRA Form.doc,20070196_20070196 GPRA Form.doc
20070196,20070196.doc,20070196_20070196.doc
20070108,20070108 GPRA Form.doc,20070108_20070108 GPRA Form.doc
20070108,20070108.doc,20070108_20070108.doc
20070108,20070108.pdf,20070108_20070108.pdf
20070020,00-018-AFS FEIS Tuxekan Island Timber Sale.doc,20070020_00-018-AFS FEIS Tuxekan Island Timber Sale.doc
20070020,AFS FEIS Tuxekan Island Timber Sale GPRA 309 Form.doc,20070020_AFS FEIS Tuxekan Island Timber Sale GPRA 309 Form.doc
20070003,20070003 GPRA Form.doc,20070003_20070003 GPRA Form.doc
20070003,20070003.doc,20070003_20070003.doc
20070003,20070003.pdf,20070003_20070003.pdf
20060443,06-005-AFS DEIS Baht Timber Sale.doc,20060443_06-005-AFS DEIS Baht Timber Sale.doc
20060443,AFS Baht Timber Sale GPRA 309 Form.doc,20060443_AFS Baht Timber Sale GPRA 309 Form.doc
20060434,05-024-AFS DSEIS Kenai Winter Access_Comments.doc,20060434_05-024-AFS DSEIS Kenai Winter Access_Comments.doc
20060434,Kenai Winter Access SDEIS_GPRA 309.doc,20060434_Kenai Winter Access SDEIS_GPRA 309.doc
20060323,05-037-AFS Scratchings Timber Sale Area DEIS.doc,20060323_05-037-AFS Scratchings Timber Sale Area DEIS.doc
20060323,GPRA Scratching Timber Sale.doc,20060323_GPRA Scratching Timber Sale.doc
20060257,GPRA 309 Helicopter Access DEIS.doc,20060257_GPRA 309 Helicopter Access DEIS.doc
20060257,06-007-AFS Helicopter Access FIA in Wilderness DEIS.pdf,20060257_06-007-AFS Helicopter Access FIA in Wilderness DEIS.pdf
20060237,GPRA 309 Traitors Cove DEIS.doc,20060237_GPRA 309 Traitors Cove DEIS.doc
20060237,Traitors Cove DEIS.pdf,20060237_Traitors Cove DEIS.pdf
20060215,Whistle Stop FEIS_GPRA 309 Form.doc,20060215_Whistle Stop FEIS_GPRA 309 Form.doc
20060136,05-024-AFS DEIS Kenai Winter Access.doc,20060136_05-024-AFS DEIS Kenai Winter Access.doc
20060136,Winter Access DEIS_GPRA 309 Form.doc,20060136_Winter Access DEIS_GPRA 309 Form.doc
20060032,04-046-AFS DEIS Kuiu Timber Sale Area.doc,20060032_04-046-AFS DEIS Kuiu Timber Sale Area.doc
20060032,20060032 GPRA KUIU Timber Sale.doc,20060032_20060032 GPRA KUIU Timber Sale.doc
20060026,05-007-AFS DEIS Whistle Stop Project.doc,20060026_05-007-AFS DEIS Whistle Stop Project.doc
20060026,Whistle Stop DEIS_GPRA 309 Form.doc,20060026_Whistle Stop DEIS_GPRA 309 Form.doc
20060006,02-082-AFS Scott Peak FEIS.doc,20060006_02-082-AFS Scott Peak FEIS.doc
20060006,GPRA 309 form Scott Peak  FEIS 02-082-AFS.rtf,20060006_GPRA 309 form Scott Peak  FEIS 02-082-AFS.rtf
20050476,98-040-AFS Emerald Bay Timber Sale FSEIS.doc,20050476_98-040-AFS Emerald Bay Timber Sale FSEIS.doc
20050476,GPRA 309 Emerald Bay FSEIS.doc,20050476_GPRA 309 Emerald Bay FSEIS.doc
20050332,GPRA 309 form Couverden Timber Sale 02-051-AFS.rtf,20050332_GPRA 309 form Couverden Timber Sale 02-051-AFS.rtf
20050260,02-082-AFS Scott Peak DEIS.doc,20050260_02-082-AFS Scott Peak DEIS.doc
20050260,GPRA 309 form Scott Peak  DEIS 02-082-AFS.rtf,20050260_GPRA 309 form Scott Peak  DEIS 02-082-AFS.rtf
20040589,02-064-AFS FSEIS Kensington Gold Comment Ltr.rtf,20040589_02-064-AFS FSEIS Kensington Gold Comment Ltr.rtf
20040589,040020 309 Performance Measure.wpd,20040589_040020 309 Performance Measure.wpd
20040557,00-018-AFS DEIS Tuxekan Island Timber Sale.wpd,20040557_00-018-AFS DEIS Tuxekan Island Timber Sale.wpd
20040557,040557 GPRA Form Tuxekan DEIS.doc,20040557_040557 GPRA Form Tuxekan DEIS.doc
20040514,ResurrectionCreek_GPRA.wpd,20040514_ResurrectionCreek_GPRA.wpd
20040514,20040514..pdf,20040514_20040514..pdf
20040481,98-040-AFS SDEIS Emerald Bay Timber Sale.wpd,20040481_98-040-AFS SDEIS Emerald Bay Timber Sale.wpd
20040481,EmeraldBayTS_GPRA.wpd,20040481_EmeraldBayTS_GPRA.wpd
20040453,040453 309 Measure Commercially Guided Helicopter Skiing on Kenai.wpd,20040453_040453 309 Measure Commercially Guided Helicopter Skiing on Kenai.wpd
20040393,040393.wpd,20040393_040393.wpd
20040393,040393 Performance Measures.wpd,20040393_040393 Performance Measures.wpd
20040149,040149 DEIS Resurrection Creek Restoration Project.wpd,20040149_040149 DEIS Resurrection Creek Restoration Project.wpd
20040063,040063.wpd,20040063_040063.wpd
20040020,02-064-AFS DSEIS Cover Kensington Gold Project.wpd,20040020_02-064-AFS DSEIS Cover Kensington Gold Project.wpd
20040020,02-064-AFS DSEIS Detailed Comments Kensington Gold Project.wpd,20040020_02-064-AFS DSEIS Detailed Comments Kensington Gold Project.wpd
20040020,040020 309 Performance Measure.wpd,20040020_040020 309 Performance Measure.wpd
20040022,03-042-AFS DEIS Commercially Guided Helicopter Skiing on the Kenai Peninsula.wpd,20040022_03-042-AFS DEIS Commercially Guided Helicopter Skiing on the Kenai Peninsula.wpd
20030507,030181 309 Performance Measure.wpd,20030507_030181 309 Performance Measure.wpd
20030507,030181 309 Perf Measure.wpd,20030507_030181 309 Perf Measure.wpd
20030344,fingermountain.meas.wpd,20030344_fingermountain.meas.wpd
20030203,97-049-AFS Cholmondeley Timber Sales FEIS.wpd,20030203_97-049-AFS Cholmondeley Timber Sales FEIS.wpd
20030181,01-012-AFS DEIS Greens Creek Tailings Disposal.wpd,20030181_01-012-AFS DEIS Greens Creek Tailings Disposal.wpd
20020490,DEIS_letter.wpd,20020490_DEIS_letter.wpd
20020490,DEIS_specifics.wpd,20020490_DEIS_specifics.wpd
20020301,00-017-AFS DEIS Kosciusko Island Timber Sale.wpd,20020301_00-017-AFS DEIS Kosciusko Island Timber Sale.wpd
20010404,PerFormEmerald.wpd,20010404_PerFormEmerald.wpd
20010344,Woodpeck.per.wpd,20010344_Woodpeck.per.wpd
20010292,99-008 juneau helicopter landing tours.wpd,20010292_99-008 juneau helicopter landing tours.wpd
20010014,99-088-AFS DEIS Gravina Island.let.wpd,20010014_99-088-AFS DEIS Gravina Island.let.wpd
20010014,gravina island final gpra .wpd,20010014_gravina island final gpra .wpd
20010013,99-024threemile timber sale letter.wpd,20010013_99-024threemile timber sale letter.wpd
20000320,chugachd.ltr.wpd,20000320_chugachd.ltr.wpd
20000320,chugachplan.d.wpd,20000320_chugachplan.d.wpd
20000281,woodpecker.wpd,20000281_woodpecker.wpd
20000195,madanlet.wpd,20000195_madanlet.wpd
20000195,madan.wpd,20000195_madan.wpd
20000019,emerald.wpd,20000019_emerald.wpd
19990492,finger.let.wpd,19990492_finger.let.wpd
19990453,wolflaked.wpd,19990453_wolflaked.wpd
19980018,19980018.pdf,19980018_19980018.pdf
19970427,19970427.pdf,19970427_19970427.pdf
19970366,19970366.pdf,19970366_19970366.pdf
19970233,19970233.pdf,19970233_19970233.pdf
19970073,19970073.pdf,19970073_19970073.pdf
19960325,19960325.pdf,19960325_19960325.pdf
19960025,19960025.pdf,19960025_19960025.pdf
19960009,19960009.pdf,19960009_19960009.pdf
19950453,19950453.pdf,19950453_19950453.pdf
20180134,Coronado Final ROD.pdf,20180134_Coronado Final ROD.pdf
20180134,CoronadoFEISVol1_Chapter1Thru4.pdf,20180134_CoronadoFEISVol1_Chapter1Thru4.pdf
20180134,CoronadoFEISVol2AppsAThruG.pdf,20180134_CoronadoFEISVol2AppsAThruG.pdf
20180134,CoronadoFEISVol3AppsHThruL.pdf,20180134_CoronadoFEISVol3AppsHThruL.pdf
20180134,FinalRevisedCoronadoPlan.pdf,20180134_FinalRevisedCoronadoPlan.pdf
20180109,Coconino NF Land and Resource Management Plan.pdf,20180109_Coconino NF Land and Resource Management Plan.pdf
20180109,Dear Interested Reader letter.pdf,20180109_Dear Interested Reader letter.pdf
20180109,FEIS Volume I.pdf,20180109_FEIS Volume I.pdf
20180109,FEIS Volume IIa.pdf,20180109_FEIS Volume IIa.pdf
20180109,FEIS Volume IIb.pdf,20180109_FEIS Volume IIb.pdf
20180109,Record of Decision.pdf,20180109_Record of Decision.pdf
20180109,FEIS Volume III.pdf,20180109_FEIS Volume III.pdf
20180109,FEIS Volume IV.pdf,20180109_FEIS Volume IV.pdf
20180092,LunaRestorationProjectDraftEnvironmentalImpactStatement.pdf,20180092_LunaRestorationProjectDraftEnvironmentalImpactStatement.pdf
20180092,Luna DEIS Cover Letter.pdf,20180092_Luna DEIS Cover Letter.pdf
20180092,MAP_1-DEIS-FirePotential-Torching-CrownFires.pdf,20180092_MAP_1-DEIS-FirePotential-Torching-CrownFires.pdf
20180092,MAP_10-DEIS-Stream-RiparianTrt.pdf,20180092_MAP_10-DEIS-Stream-RiparianTrt.pdf
20180092,MAP_2-DEIS-VegTrt-WoodlandForest.pdf,20180092_MAP_2-DEIS-VegTrt-WoodlandForest.pdf
20180092,MAP_3-DEIS-VegTrt-GrasslandMeadows.pdf,20180092_MAP_3-DEIS-VegTrt-GrasslandMeadows.pdf
20180092,MAP_4-DEIS-VegTrt-AltC-HerbicideTrt.pdf,20180092_MAP_4-DEIS-VegTrt-AltC-HerbicideTrt.pdf
20180092,MAP_5-DEIS-PrescribedFireOnly.pdf,20180092_MAP_5-DEIS-PrescribedFireOnly.pdf
20180092,MAP_6-DEIS-ActivityFuelsTreatments.pdf,20180092_MAP_6-DEIS-ActivityFuelsTreatments.pdf
20180092,MAP_7-DEIS-RangeImprovements.pdf,20180092_MAP_7-DEIS-RangeImprovements.pdf
20180092,MAP_8-DEIS-AltB-C-Transportation.pdf,20180092_MAP_8-DEIS-AltB-C-Transportation.pdf
20180092,MAP_9-DEIS-AltD-Transportation.pdf,20180092_MAP_9-DEIS-AltD-Transportation.pdf
20180092,EPA Comments & Rating on the Luna Restoration Project DEIS.pdf,20180092_EPA Comments & Rating on the Luna Restoration Project DEIS.pdf
20170015,2017-01-13_FEIS-CampTatiyee.pdf,20170015_2017-01-13_FEIS-CampTatiyee.pdf
20150266,vol-1Apache-SitgreavesNationalForestsLandManagementPlanProgrammaticFEIS.pdf,20150266_vol-1Apache-SitgreavesNationalForestsLandManagementPlanProgrammaticFEIS.pdf
20150266,vol-2Apache-SitgreavesNationalForestsLandManagementPlanProgrammaticFEIS.pdf,20150266_vol-2Apache-SitgreavesNationalForestsLandManagementPlanProgrammaticFEIS.pdf
20150266,vol-3Apache-SitgreavesNationalForestsLandManagementPlanProgrammaticFEIS.pdf,20150266_vol-3Apache-SitgreavesNationalForestsLandManagementPlanProgrammaticFEIS.pdf
20150237,Final Environmental Impact Statement - Bill Williams Mountain Restoration Project.pdf,20150237_Final Environmental Impact Statement - Bill Williams Mountain Restoration Project.pdf
20150209,PrescottNF_MgmtPlan_FinalEIS_Vol1_2015.pdf,20150209_PrescottNF_MgmtPlan_FinalEIS_Vol1_2015.pdf
20150209,PrescottNF_MgmtPlan_Final_EIS_Vol2_2015.pdf,20150209_PrescottNF_MgmtPlan_Final_EIS_Vol2_2015.pdf
20150180,Flagstaff Watershed Protection Project Final Environmental Impact Statement.pdf,20150180_Flagstaff Watershed Protection Project Final Environmental Impact Statement.pdf
20150180,20150180.pdf,20150180_20150180.pdf
20150159,2015.05.29_CampTatiyeeDEIS.pdf,20150159_2015.05.29_CampTatiyeeDEIS.pdf
20150159,20150159.pdf,20150159_20150159.pdf
20140256,FinalEnvironmentalImpactStatement_NewSpecialUsePermitsForRecreationResidencesOnTheSaffordRangerDistrictCoronadoNationalForest.pdf,20140256_FinalEnvironmentalImpactStatement_NewSpecialUsePermitsForRecreationResidencesOnTheSaffordRangerDistrictCoronadoNationalForest.pdf
20140256,DraftRecordOfDecision_NewSpecialUsePermitsForRecreationResidencesOnTheSaffordRangerDistrictCoronadoNationalForest.pdf,20140256_DraftRecordOfDecision_NewSpecialUsePermitsForRecreationResidencesOnTheSaffordRangerDistrictCoronadoNationalForest.pdf
20140256,FinalEnvironmentalImpactStatement_NewSpecialUsePermitsForRecreationResidencesOnTheSaffordRangerDistrictCoronadoNationalForest.pdf,20140256_FinalEnvironmentalImpactStatement_NewSpecialUsePermitsForRecreationResidencesOnTheSaffordRangerDistrictCoronadoNationalForest.pdf
20140185,FWPP Draft Environmental Impact Statement (DEIS).pdf,20140185_FWPP Draft Environmental Impact Statement (DEIS).pdf
20140185,20140185.pdf,20140185_20140185.pdf
20140183,Draft Environmental Impact Statement for Travel Management on the Tonto National Forest.pdf,20140183_Draft Environmental Impact Statement for Travel Management on the Tonto National Forest.pdf
20140183,20140183.pdf,20140183_20140183.pdf
20140058,feis.pdf,20140058_feis.pdf
20140058,Appendix.pdf,20140058_Appendix.pdf
20140058,lrmp.pdf,20140058_lrmp.pdf
20140058,ROD.pdf,20140058_ROD.pdf
20130370,Draft Land and Resource Management Plan for the Coconino National Forest.pdf,20130370_Draft Land and Resource Management Plan for the Coconino National Forest.pdf
20130370,Draft Environmental Impact Statement for the Coconino National Forest Land and Resource Management Plan (Volume 1).pdf,20130370_Draft Environmental Impact Statement for the Coconino National Forest Land and Resource Management Plan (Volume 1).pdf
