Title,Document,EPA.Comment.Letter.Date,Federal.Register.Date,Agency,State,eis_url,EIS_ID,EIS.Title,EIS.Number,Document.Type,EIS.Comment.Due..Review.Period.Date,Amended.Notice.Date,Amended.Notice,Supplemental.Information,Website,State.or.Territory,Lead.Agency,Contact.Name,Contact.Phone,Rating..if.Draft.EIS.
Craggy Vegetation Management,Final,NA,03/16/2018,Forest Service,CA,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=246107,246107,Craggy Vegetation Management,20180040,Final,2018-04-2300:00:00.0,NA,NA,NA,NA,CA,Forest Service,Danika Carlson,530-468-1225,NA
Hungry Ridge Restoration Project,Draft,04/23/2018,03/09/2018,Forest Service,ID,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=245844,245844,Hungry Ridge Restoration Project,20180034,Draft,2018-04-2300:00:00.0,NA,NA,NA,NA,ID,Forest Service,Jennie Fischer,208-983-4048,EO2
Hwy 46,Final,04/23/2018,03/09/2018,Forest Service,OR,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=245825,245825,Hwy 46,20180033,Final,2018-04-2300:00:00.0,NA,NA,NA,NA,OR,Forest Service,Lynise Medley,503-854-4228,NA
Big Creek Geothermal Leasing Project,Final,NA,03/02/2018,Forest Service,ID,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=245330,245330,Big Creek Geothermal Leasing Project,20180026,Final,2018-04-1600:00:00.0,NA,NA,NA,NA,ID,Forest Service,Julie Hopkins,208-756-5279,NA
East Hills Project DRAFT Environmental Impact Statement,Draft,08/03/2018,02/23/2018,Forest Service,OR,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=245147,245147,East Hills Project DRAFT Environmental Impact Statement,20180024,Draft,2018-04-0900:00:00.0,NA,NA,NA,NA,OR,Forest Service,Jody Perozzi,541-353-2723,NA
Coeur d' Alene Basin Restoration Plan and Environmental Impact Statement,Final,NA,02/23/2018,Forest Service,ID,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=245091,245091,Coeur d' Alene Basin Restoration Plan and Environmental Impact Statement,20180022,Final,2018-03-2600:00:00.0,NA,NA,NA,NA,ID,Forest Service,Jeffrey Johnson,208-765-7442,NA
Lolo Insect & Disease Project,Draft,04/02/2018,02/16/2018,Forest Service,ID,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=244964,244964,Lolo Insect & Disease Project,20180019,Draft,2018-04-0200:00:00.0,NA,NA,NA,NA,ID,Forest Service,Sara Daugherty,208-926-6404,LO
Tenmile - South Helena Project,Final,03/19/2018,02/16/2018,Forest Service,MT,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=244901,244901,Tenmile - South Helena Project,20180018,Final,2018-03-1900:00:00.0,NA,NA,NA,NA,MT,Forest Service,Allen Byrd,406-495-3903,NA
Crested Butte Mountain Resort (CBMR) Ski Area Projects,Draft,05/10/2018,02/09/2018,Forest Service,CO,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=244470,244470,Crested Butte Mountain Resort (CBMR) Ski Area Projects,20180013,Draft,2018-05-1000:00:00.0,NA,NA,NA,NA,CO,Forest Service,Aaron Drendel,719-657-6019,LO
Forest Plan Supplemental EIS and New Information Review - Bighorn Sheep,Final Supplement,03/28/2018,02/02/2018,Forest Service,MT,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=244261,244261,Forest Plan Supplemental EIS and New Information Review - Bighorn Sheep,20180010,Final Supplement,2018-03-2800:00:00.0,NA,NA,NA,NA,MT,Forest Service,Jan Bowey,406-842-5432,NA
Berlaimont Estates Road Improvement Project,Draft,03/12/2018,01/26/2018,Forest Service,CO,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=244009,244009,Berlaimont Estates Road Improvement Project,20180007,Draft,2018-03-1200:00:00.0,NA,NA,NA,NA,CO,Forest Service,Matthew Klein,941-400-4452,EC2
Steamboat Ski Area Improvements,Draft,03/05/2018,01/19/2018,Forest Service,CO,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=243855,243855,Steamboat Ski Area Improvements,20180005,Draft,2018-03-0500:00:00.0,NA,NA,NA,NA,CO,Forest Service,Erica Dickerman,970-870-2185,EC2
Mt. Rose Ski Tahoe - Atoma Area Project,Draft,04/04/2018,01/19/2018,Forest Service,NV,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=243813,243813,Mt. Rose Ski Tahoe - Atoma Area Project,20180003,Draft,2018-04-1900:00:00.0,NA,NA,NA,NA,NV,Forest Service,Marnie Bonesteel,775-352-1240,LO
Little Boulder Project,Draft,03/09/2018,01/19/2018,Forest Service,ID,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=243639,243639,Little Boulder Project,20180001,Draft,2018-03-0900:00:00.0,NA,NA,NA,NA,ID,Forest Service,Stephanie Israel,208-476-8344,EC2
Townsend Project,Draft,02/05/2018,12/29/2017,Forest Service,WI,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=243301,243301,Townsend Project,20170245,Draft,2018-02-1200:00:00.0,NA,NA,NA,NA,WI,Forest Service,Marilee Houtler,715-276-6333,LO
Trout Creek,Draft,NA,12/29/2017,Forest Service,OR,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=243364,243364,Trout Creek,20170244,Draft,2018-02-1200:00:00.0,NA,NA,NA,NA,OR,Forest Service,Joan Schmidgall,541-367-3809,NA
"Final Environmental Impact Statement - Use of Domestic Sheep, Goats, and Pack Goats",Final,NA,12/15/2017,Forest Service,WY,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=242870,242870,"Final Environmental Impact Statement - Use of Domestic Sheep, Goats, and Pack Goats",20170240,Final,2018-02-1300:00:00.0,NA,NA,NA,NA,WY,Forest Service,Casey McQuiston,307-578-5134,NA
Antelope Grazing Allotments AMP,Final,01/08/2018,11/24/2017,Forest Service,OR,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=242085,242085,Antelope Grazing Allotments AMP,20170231,Final,2018-01-0800:00:00.0,NA,NA,NA,NA,OR,Forest Service,Benjamin Goodin,541-947-6251,NA
San Gabriel River Confluence With Cattle Canyon Improvements Project,Draft,12/26/2017,11/09/2017,Forest Service,CA,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=241596,241596,San Gabriel River Confluence With Cattle Canyon Improvements Project,20170221,Draft,2017-12-2600:00:00.0,NA,NA,NA,NA,CA,Forest Service,Chinling Chen,626-574-5255,LO
Upper Green River Area Rangeland Project,Final,12/11/2017,10/27/2017,Forest Service,WY,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=240721,240721,Upper Green River Area Rangeland Project,20170210,Final,2017-12-1100:00:00.0,2017-11-0300:00:00.0,Revision to FR Notice Published 10/27/2017; Correcting Lead Agency from USFWS to USFS,NA,NA,WY,Forest Service,Dave Booth,(307)367-4326,NA
Cretaceous Hills Ecological Restoration Project Draft Environmental Impact Statement,Draft,12/15/2017,10/20/2017,Forest Service,IL,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=240507,240507,Cretaceous Hills Ecological Restoration Project Draft Environmental Impact Statement,20170207,Draft,2017-12-1900:00:00.0,NA,NA,NA,NA,IL,Forest Service,Leonard Pitcher,618-833-8576 ext. 116,EC2
Hwy 46 Project,Draft,12/01/2017,10/20/2017,Forest Service,OR,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=240416,240416,Hwy 46 Project,20170204,Draft,2017-12-0400:00:00.0,NA,NA,NA,NA,OR,Forest Service,Lynise Medley,503-854-4228,LO
CP District-wide Salvage Draft Environmental Impact Statement,Draft,11/30/2017,10/13/2017,Forest Service,CO,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=240302,240302,CP District-wide Salvage Draft Environmental Impact Statement,20170202,Draft,2017-11-3000:00:00.0,NA,NA,NA,NA,CO,Forest Service,Mike Tooley,719-274-6321,LO
Lassen National Forest Over-Snow Vehicle(OSV) Use Designation,Revised Draft,11/20/2017,10/06/2017,Forest Service,CA,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=240001,240001,Lassen National Forest Over-Snow Vehicle(OSV) Use Designation,20170195,Revised Draft,2017-11-2000:00:00.0,NA,NA,NA,NA,CA,Forest Service,Chris Obrien,530-252-6698,LO
Rio Grande Forest Plan Revision,Draft,12/13/2017,09/29/2017,Forest Service,Multi,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=239523,239523,Rio Grande Forest Plan Revision,20170188,Draft,2017-12-2800:00:00.0,NA,NA,NA,NA,CO-NM,Forest Service,Erin Minks,719-852-6215,LO
Trinity Post Fire Hazard Reduction and Salvage,Final,NA,09/22/2017,Forest Service,CA,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=239043,239043,Trinity Post Fire Hazard Reduction and Salvage,20170180,Final,2017-10-3000:00:00.0,NA,NA,NA,NA,CA,Forest Service,Thomas Hall,530-628-1200,NA
Craggy Vegetation Management,Draft,11/02/2017,09/22/2017,Forest Service,CA,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=239021,239021,Craggy Vegetation Management,20170179,Draft,2017-11-0600:00:00.0,NA,NA,NA,NA,CA,Forest Service,Andrew Mueller,530-468-1223,LO
Black Hills Resilient Landscapes Project,Draft,10/30/2017,09/15/2017,Forest Service,Multi,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=238919,238919,Black Hills Resilient Landscapes Project,20170177,Draft,2017-10-3000:00:00.0,2017-09-2200:00:00.0,Revision to FR Notice Published 09/15/2017; Correcting Lead Agency from AFS to USFS,NA,NA,WY-SD,Forest Service,Anne Davy,406-273-1836,LO
La Garita Hills Restoration Project,Final,09/19/2017,09/08/2017,Forest Service,CO,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=238780,238780,La Garita Hills Restoration Project,20170174,Final,2017-10-0800:00:00.0,NA,NA,NA,NA,CO,Forest Service,Diana McGinn,719-852-6241,NA
Federal Coal Lease Modifications COC-1362 and COC-67232,Final Supplement,09/28/2017,09/08/2017,Forest Service,CO,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=238724,238724,Federal Coal Lease Modifications COC-1362 and COC-67232,20170173,Final Supplement,2017-10-0800:00:00.0,NA,NA,NA,NA,CO,Forest Service,Niccole Mortenson,406-329-3163,NA
Power Fire Reforestation,Final,09/12/2017,09/01/2017,Forest Service,CA,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=237930,237930,Power Fire Reforestation,20170165,Final,2017-10-0200:00:00.0,NA,NA,NA,NA,CA,Forest Service,Marc Young,209-295-5955,NA
Exchequer Restoration Project,Draft,10/10/2017,08/25/2017,Forest Service,CA,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=237841,237841,Exchequer Restoration Project,20170164,Draft,2017-10-0900:00:00.0,2017-10-2700:00:00.0,Revision to FR Notice Published 08/25/2017; U.S. Forest Service is reopening the comment period to end 11/27/2017,NA,NA,CA,Forest Service,Elaine Locke,559-855-5355,LO
Kootenai Forest-Wide Young Growth Vegetation Management Project,Draft,10/10/2017,08/25/2017,Forest Service,MT,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=237661,237661,Kootenai Forest-Wide Young Growth Vegetation Management Project,20170161,Draft,2017-10-1000:00:00.0,NA,NA,NA,NA,MT,Forest Service,Quinn Carver,406-283-7695,EC2
Miller West Fisher,Final Supplement,09/06/2017,08/18/2017,Forest Service,MT,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=237341,237341,Miller West Fisher,20170157,Final Supplement,2017-09-1800:00:00.0,NA,NA,NA,NA,MT,Forest Service,Denise Beck,406-293-7773 x7504,NA
School Trust Land Exchange,Draft,10/04/2017,08/11/2017,Forest Service,MN,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=236959,236959,School Trust Land Exchange,20170151,Draft,2017-10-1000:00:00.0,NA,NA,NA,NA,MN,Forest Service,Peter Taylor,218-626-4368,LO
Trestle Forest Health Project,Final,NA,08/04/2017,Forest Service,CA,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=236686,236686,Trestle Forest Health Project,20170147,Final,2017-09-0500:00:00.0,NA,NA,NA,NA,CA,Forest Service,Jennifer Marsolais,530-642-5187,NA
Starry Goat,Draft,09/07/2017,07/28/2017,Forest Service,MT,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=236490,236490,Starry Goat,20170141,Draft,2017-09-1100:00:00.0,NA,NA,NA,NA,MT,Forest Service,Lisa Osborn,406-295-7558,EC1
North Savery Project,Draft,09/12/2017,07/28/2017,Forest Service,WY,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=236482,236482,North Savery Project,20170140,Draft,2017-09-1200:00:00.0,NA,NA,NA,NA,WY,Forest Service,Paula Guenther,307-326-2507,EC2
Wrangell Island Project,Final,07/26/2017,07/14/2017,Forest Service,AK,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=235689,235689,Wrangell Island Project,20170128,Final,2017-08-1400:00:00.0,NA,NA,NA,NA,AK,Forest Service,Andrea Slusser,907-874-2323,NA
Lobert Restoration Project,Draft,NA,07/07/2017,Forest Service,OR,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=235331,235331,Lobert Restoration Project,20170123,Draft,2017-08-2100:00:00.0,NA,NA,NA,NA,OR,Forest Service,Kyle Gomez,541-883-6734,LO
Rico West Dolores Roads and Trails Travel Management  Project,Draft Supplement,NA,07/07/2017,Forest Service,CO,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=235325,235325,Rico West Dolores Roads and Trails Travel Management  Project,20170122,Draft Supplement,2017-08-2100:00:00.0,NA,NA,NA,NA,CO,Forest Service,Deborah Kill,970-882-6822,EC1
Highway 89 Safety Enhancement and Forest Ecosystem Restoration Project,Draft,08/21/2017,07/07/2017,Forest Service,CA,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=235281,235281,Highway 89 Safety Enhancement and Forest Ecosystem Restoration Project,20170120,Draft,2017-08-2100:00:00.0,NA,NA,NA,NA,CA,Forest Service,Ann Glubczynski,530-964-2184,LO
